"Abbreviation","Species","MWMT_overlap","CMD_overlap","Relative_frequency"
"Phaadi","Phaeophyscia_adiastola",0.830566156514111,0.833989239881291,0.008
"Phacil","Phaeophyscia_ciliata",0.625946705485714,0.84177082279659,0.027
"Phaery","Phaeophyscia_erythrocardia",0.396414820759124,0.688941810748418,0
"Phahir","Phaeophyscia_hirsuta",0.818232613480021,0.505132680121728,0.057
"Phahis","Phaeophyscia_hispidula",0.852105830623894,0.74815684215735,0.006
"Phahrt","Phaeophyscia_hirtella",0.335188995433381,0.528855608793428,0.005
"Phains","Phaeophyscia_insignis",0.62120807862837,0.486098941002597,0.001
"Phakai","Phaeophyscia_kairamoi",0.758771084107795,0.857043089462697,0.001
"Phanig","Phaeophyscia_nigricans",0.788011892883003,0.662538216546455,0.01
"Phaorb","Phaeophyscia_orbicularis",0.885358925036262,0.420201648579279,0.028
"Phapus","Phaeophyscia_pusilloides",0.820129405533649,0.922223610725391,0.097
"Pharub","Phaeophyscia_rubropulchra",0.834828567486353,0.915337181581875,0.205
"Phoame","Physconia_americana",0.812066062197546,0.806962632567569,0.029
"Phocal","Physconia_californica",0.0125112972813409,0.0255905778167558,0
"Phodet","Physconia_detersa",0.735254582156881,0.654811213990571,0.025
"Phoele","Physconia_elegantula",0.919109700797316,0.682991712900939,0.004
"Phoent","Physconia_enteroxantha",0.789222591250155,0.724068107786041,0.037
"Phofal","Physconia_fallax",0.710992618366795,0.792934905741088,0.004
"Phoisi","Physconia_isidiigera",0.847566635371515,0.785694695502891,0.03
"Pholeu","Physconia_leucoleiptes",0.502751631207607,0.732449709449973,0.014
"Phoper","Physconia_perisidiosa",0.665848687811842,0.602081219356042,0.039
"Phyads","Physcia_adscendens",0.83893930299041,0.653196695731359,0.194
"Phyaip","Physcia_aipolia",0.812420341548303,0.727795871988931,0.119
"Phyaln","Physcia_alnophila",0.0478607336216381,0.00614150339597034,0
"Phyame","Physcia_americana",0.752627661230219,0.752000519326285,0.038
"Phybiz","Physcia_biziana",0.82937050769593,0.746070640567447,0.093
"Phycae","Physcia_caesia",0.825411886608068,0.603103370625254,0.005
"Phycri","Physcia_crispa",0.39035083351326,0.47101604842304,0.002
"Phydim","Physcia_dimidiata",0.850607035175317,0.782184005459642,0.081
"Phydub","Physcia_dubia",0.881314453786883,0.609724566926876,0.008
"Phymil","Physcia_millegrana",0.825622242024525,0.891927678353623,0.179
"Phyneo","Physcia_neogaea",0.442880424609154,0.810126142992664,0.008
"Physem","Physcia_leptalea",0.369251821370565,0.35487772659696,0.001
"Physor","Physcia_sorediosa",0.519649645923781,0.81692576138052,0.001
"Physte","Physcia_stellaris",0.770091267388493,0.857087304395159,0.129
"Phyten","Physcia_tenella",0.789374583151006,0.721650405562479,0.042
"Phyund","Physcia_undulata",0.0333833589977075,0.0214641783442922,0
"Plagla","Platismatia_glauca",0.854660736627695,0.916766744062555,0.15
"Plaher","Platismatia_herrei",0.776977292973864,0.867701604095638,0.08
"Plalac","Platismatia_lacunosa",0.42417676371626,0.352563253413454,0.028
"Planor","Platismatia_norvegica",0.70065738000503,0.716591814822634,0.063
"Plaste","Platismatia_stenophylla",0.749920029742798,0.857523295842834,0.048
"Platuc","Platismatia_tuckermanii",0.746716776664137,0.739635711282651,0.03
"Pllpar","Parmeliella_parvula",0.601619833498142,0.820427982583102,0.002
"Plltri","Parmeliella_triptophylla",0.629799563567318,0.696050208025273,0.005
"Pmoarn","Parmotrema_arnoldii",0.763080291854164,0.760124703261378,0.016
"Pmoaus","Parmotrema_austrosinense",0.716485386511807,0.879878028815777,0.002
"Pmocet","Parmoterma_cetratum",0.0272237235288432,0.0674930475151067,0
"Pmochi","Parmotrema_chinense",0.870310054958032,0.701322083174124,0.021
"Pmocri","Parmotrema_crinitum",0.861337043378468,0.812847628419662,0.008
"Pmocrs","Parmotrema_cristiferum",0.30004144477641,0.586082881419927,0
"Pmodil","Parmotrema_dilatatum",0.548056992491039,0.703324826811851,0.007
"Pmoend","Parmotrema_endosulphureum",2.87704279375007e-16,0.0414424096689579,0
"Pmoeur","Parmotrema_eurysacum",0.677480296030919,0.281007103593636,0.008
"Pmogar","Parmotrema_gardneri",0.632121436494352,0.650841334137869,0.004
"Pmohai","Parmotrema_haitiense",0.0380292641355205,0.0580856447150542,0
"Pmohyl","Parmotrema_hypoleucinum",0.28905144330403,0.438885197085263,0.002
"Pmohyp","Parmotrema_hypotropum",0.700168591372012,0.730901184366549,0.067
"Pmolou","Parmotrema_louisianae",0.370068046467245,0.572685143673647,0.001
"Pmomad","Parmotrema_madagascariaceum",0.470348589073358,0.17975968138274,0
"Pmomar","Parmotrema_margaritatum",0.83356705494023,0.763788726376593,0.015
"Pmomel","Parmotrema_mellissii",0.802095398114047,0.873966968963654,0.002
"Pmomic","Parmotrema_michauxianum",0.72353664136264,0.861472269289574,0.019
"Pmoper","Parmotrema_perforatum",0.625041519693264,0.746362250002658,0.025
"Pmoram","Parmotrema_rampoddense",0.600435781951816,0.832196242103412,0.006
"Pmorig","Parmotrema_rigidum",0.504215123777822,0.658994176478233,0.008
"Pmostu","Parmotrema_stuppeum",0.414228943871277,0.373591686751476,0.014
"Pmosub","Canomaculina_subtinctoria",0.915530835002933,0.645306402335559,0.004
"Pmosul","Parmotrema_sulphuratum",0.0152828284702122,0.325130880198141,0
"Pmotin","Parmotrema_tinctorum",0.591022764717037,0.757535260750894,0.009
"Pmoult","Parmotrema_ultralucens",0.751931443264317,0.830433613761616,0.004
"Pmoxan","Parmotrema_xanthinum",0.848559394239002,0.617678550417948,0.003
"Pmozol","Parmotrema_zollingeri",0.525689865281415,0.201354045282255,0
"Pnaque","Parmelina_coleae",0.860138157096364,0.831939339900444,0.014
"Polcon","Leptogidium_contortum",0.607269902750427,0.398617727683551,0.012
"Polden","Leptogidium_dendriscum",0.0350956864953094,0.019516319018323,0
"Popamb","Parmeliopsis_ambigua",0.858704555827157,0.69154957378093,0.13
"Popcap","Parmeliopsis_capitata",0.859079898797969,0.771945340992469,0.007
"Pophyp","Parmeliopsis_hyperopta",0.900150927155422,0.771783613317614,0.113
"Popsub","Parmeliopsis_subambigua",0.527475240232269,0.882522597682689,0.001
"Ppasph","Pseudoparmelia_uleana",0.453251190187154,0.171118014954064,0
"Ppshor","Hypotrachyna_horrescens",0.773896746216389,0.831174216910596,0.021
"Ppsmin","Hypotrachyna_minarum",0.652739571519098,0.763598243281032,0.041
"Ppsspu","Hypotrachyna_spumosa",0.285029791907793,0.558624565048489,0.002
"Psohyp","Psoroma_hypnorum",0.638969452995074,0.487720342949812,0.004
"Punapp","Punctelia_appalachensis",0.841488165410468,0.638217972463704,0.002
"Punbol","Punctelia_bolliana",0.483494203963187,0.517134395054747,0.007
"Punbor","Punctelia_borreri",0.589637429155383,0.878933719627966,0
"Puncas","Punctelia_caseana",0.768674883371379,0.410878828996535,0.001
"Punhyp","Punctelia_hypoleucites",0.490351196649402,0.721878921697987,0.002
"Punmis","Punctelia_missouriensis",0.533443475066616,0.78151973660726,0.016
"Punper","Punctelia_perreticulata",0.644503875176611,0.611475337174408,0.027
"Punred","Punctelia_reddenda",0.104252518225559,0.414973171698623,0.002
